order_id,user_id,order_date,time,order_hour_of_day,product_name,quantity,price,category,product_id,revenue,month_year
1000,341,2024-09-04,15:43:00,15,Wheat Flour,1,333.44,Grains & Staples,457,333.44,2024-09
1000,341,2024-09-04,15:43:00,15,Dishwashing Liquid,2,405.92,Household,745,811.84,2024-09
1000,341,2024-09-04,15:43:00,15,Pastry,2,114.15,Bakery,849,228.3,2024-09
1000,341,2024-09-04,15:43:00,15,Marker,2,171.33,Stationery,599,342.66,2024-09
1001,324,2024-03-07,8:45:00,8,Saree,2,41.16,Clothing,329,82.32,2024-03
1001,324,2024-03-07,8:45:00,8,Spinach,2,181.65,Fruits & Vegetables,759,363.3,2024-03
1001,324,2024-03-07,8:45:00,8,Face Wash,2,335.04,Personal Care,608,670.08,2024-03
1001,324,2024-03-07,8:45:00,8,Energy Drink,3,292.11,Beverages,143,876.33,2024-03
1001,324,2024-03-07,8:45:00,8,Mixer Grinder,1,479.36,Electronics,862,479.36,2024-03
1001,324,2024-03-07,8:45:00,8,Fish,2,412.51,Meat & Seafood,519,825.02,2024-03
1001,324,2024-03-07,8:45:00,8,Apple,2,163.93,Fruits & Vegetables,612,327.86,2024-03
1002,332,2024-02-27,9:13:00,9,Cookies,3,466.75,Bakery,120,1400.25,2024-02
1002,332,2024-02-27,9:13:00,9,Chicken Breast,3,478.7,Meat & Seafood,787,1436.1,2024-02
1002,332,2024-02-27,9:13:00,9,Butter,2,130.36,Dairy & Eggs,796,260.72,2024-02
1002,332,2024-02-27,9:13:00,9,Dress,3,285.18,Clothing,214,855.54,2024-02
1003,431,2024-07-23,7:29:00,7,Vitamins,2,161.01,Health & Wellness,767,322.02,2024-07
1003,431,2024-07-23,7:29:00,7,Dishwashing Liquid,3,364.58,Household,702,1093.74,2024-07
1003,431,2024-07-23,7:29:00,7,Apple,3,209.36,Fruits & Vegetables,783,628.08,2024-07
1004,115,2024-06-18,15:03:00,15,Pastry,3,289.1,Bakery,574,867.3000000000001,2024-06
1004,115,2024-06-18,15:03:00,15,Salt,1,176.26,Grains & Staples,308,176.26,2024-06
1004,115,2024-06-18,15:03:00,15,Notebook,1,88.43,Stationery,297,88.43,2024-06
1004,115,2024-06-18,15:03:00,15,Tissue,1,144.28,Household,764,144.28,2024-06
1005,439,2024-02-08,22:23:00,22,Biscuits,3,49.11,Snacks,687,147.32999999999998,2024-02
1005,439,2024-02-08,22:23:00,22,Cookies,1,447.7,Bakery,437,447.7,2024-02
1005,439,2024-02-08,22:23:00,22,Energy Drink,1,66.94,Beverages,600,66.94,2024-02
1005,439,2024-02-08,22:23:00,22,Chicken Breast,2,93.31,Meat & Seafood,512,186.62,2024-02
1006,410,2024-09-26,7:45:00,7,Electric Kettle,3,215.85,Electronics,186,647.55,2024-09
1006,410,2024-09-26,7:45:00,7,Face Wash,2,465.96,Personal Care,559,931.92,2024-09
1006,410,2024-09-26,7:45:00,7,Croissant,3,73.61,Bakery,566,220.82999999999998,2024-09
1007,406,2024-04-29,18:28:00,18,Electric Kettle,1,318.72,Electronics,762,318.72,2024-04
1007,406,2024-04-29,18:28:00,18,Soda,3,272.41,Beverages,853,817.23,2024-04
1007,406,2024-04-29,18:28:00,18,Earphones,2,353.38,Electronics,346,706.76,2024-04
1008,129,2024-10-17,18:35:00,18,Cookies,3,480.61,Bakery,412,1441.83,2024-10
1008,129,2024-10-17,18:35:00,18,Wheat Flour,3,424.9,Grains & Staples,542,1274.6999999999998,2024-10
1008,129,2024-10-17,18:35:00,18,Onion,1,212.49,Fruits & Vegetables,871,212.49,2024-10
1008,129,2024-10-17,18:35:00,18,Phone Cover,3,395.35,Electronics,389,1186.0500000000002,2024-10
1008,129,2024-10-17,18:35:00,18,Cooking Oil,3,359.96,Grains & Staples,252,1079.8799999999999,2024-10
1008,129,2024-10-17,18:35:00,18,Cookies,1,330.59,Bakery,299,330.59,2024-10
1008,129,2024-10-17,18:35:00,18,Chicken Breast,2,313.65,Meat & Seafood,588,627.3,2024-10
1009,366,2024-12-02,16:59:00,16,Chocolate,2,333.09,Snacks,399,666.18,2024-12
1009,366,2024-12-02,16:59:00,16,Croissant,1,95.96,Bakery,952,95.96,2024-12
1009,366,2024-12-02,16:59:00,16,Sugar,2,447.6,Grains & Staples,899,895.2,2024-12
1010,76,2024-08-18,7:13:00,7,Soda,2,369.0,Beverages,734,738.0,2024-08
1010,76,2024-08-18,7:13:00,7,Tea,2,381.68,Beverages,668,763.36,2024-08
1010,76,2024-08-18,7:13:00,7,Carrot,3,186.53,Fruits & Vegetables,197,559.59,2024-08
1010,76,2024-08-18,7:13:00,7,Yogurt,2,446.15,Dairy & Eggs,592,892.3,2024-08
1011,144,2024-10-20,15:54:00,15,Milk,2,152.27,Dairy & Eggs,295,304.54,2024-10
1011,144,2024-10-20,15:54:00,15,Soap,2,499.96,Personal Care,257,999.92,2024-10
1011,144,2024-10-20,15:54:00,15,Chocolate,2,414.46,Snacks,684,828.92,2024-10
1012,83,2024-07-01,13:59:00,13,Energy Drink,2,145.44,Beverages,414,290.88,2024-07
1012,83,2024-07-01,13:59:00,13,Charger,2,479.01,Electronics,687,958.02,2024-07
1012,83,2024-07-01,13:59:00,13,Shampoo,1,162.36,Personal Care,774,162.36,2024-07
1012,83,2024-07-01,13:59:00,13,Banana,2,266.82,Fruits & Vegetables,723,533.64,2024-07
1013,187,2024-06-15,8:09:00,8,Charger,3,483.34,Electronics,279,1450.02,2024-06
1013,187,2024-06-15,8:09:00,8,Popcorn,3,240.87,Snacks,703,722.61,2024-06
1013,187,2024-06-15,8:09:00,8,Chicken Breast,2,118.51,Meat & Seafood,262,237.02,2024-06
1014,111,2024-12-28,18:08:00,18,Spinach,1,486.7,Fruits & Vegetables,720,486.7,2024-12
1014,111,2024-12-28,18:08:00,18,Rice,3,373.99,Grains & Staples,659,1121.97,2024-12
1014,111,2024-12-28,18:08:00,18,Earphones,1,135.96,Electronics,265,135.96,2024-12
1014,111,2024-12-28,18:08:00,18,Pain Reliever,2,248.28,Health & Wellness,802,496.56,2024-12
1014,111,2024-12-28,18:08:00,18,Pen,2,405.4,Stationery,472,810.8,2024-12
1015,200,2024-05-23,12:21:00,12,Sugar,2,417.75,Grains & Staples,814,835.5,2024-05
1015,200,2024-05-23,12:21:00,12,Lentils,2,142.51,Grains & Staples,139,285.02,2024-05
1015,200,2024-05-23,12:21:00,12,Floor Cleaner,2,85.75,Household,474,171.5,2024-05
1016,257,2024-07-03,18:09:00,18,Tissue,2,238.27,Household,659,476.54,2024-07
1016,257,2024-07-03,18:09:00,18,Spinach,3,355.58,Fruits & Vegetables,807,1066.74,2024-07
1016,257,2024-07-03,18:09:00,18,Shampoo,2,313.4,Personal Care,551,626.8,2024-07
1016,257,2024-07-03,18:09:00,18,Coffee,2,354.91,Beverages,658,709.82,2024-07
1016,257,2024-07-03,18:09:00,18,Chocolate,2,68.08,Snacks,659,136.16,2024-07
1016,257,2024-07-03,18:09:00,18,Tea,2,120.73,Beverages,368,241.46,2024-07
1016,257,2024-07-03,18:09:00,18,Face Wash,2,28.45,Personal Care,584,56.9,2024-07
1017,352,2024-10-23,21:39:00,21,Diapers,1,315.15,Baby Care,338,315.15,2024-10
1017,352,2024-10-23,21:39:00,21,Notebook,3,476.93,Stationery,378,1430.79,2024-10
1017,352,2024-10-23,21:39:00,21,Baby Food,2,306.92,Baby Care,612,613.84,2024-10
1017,352,2024-10-23,21:39:00,21,Popcorn,2,209.88,Snacks,102,419.76,2024-10
1017,352,2024-10-23,21:39:00,21,Chocolate,2,370.14,Snacks,759,740.28,2024-10
1017,352,2024-10-23,21:39:00,21,Apple,1,479.3,Fruits & Vegetables,297,479.3,2024-10
1018,221,2024-10-20,21:02:00,21,Tea,1,393.5,Beverages,116,393.5,2024-10
1018,221,2024-10-20,21:02:00,21,Eggs,1,255.15,Dairy & Eggs,214,255.15,2024-10
1018,221,2024-10-20,21:02:00,21,Saree,1,48.77,Clothing,989,48.77,2024-10
1018,221,2024-10-20,21:02:00,21,Fish,1,422.52,Meat & Seafood,704,422.52,2024-10
1018,221,2024-10-20,21:02:00,21,Vitamins,2,28.31,Health & Wellness,503,56.62,2024-10
1018,221,2024-10-20,21:02:00,21,Biscuits,2,405.37,Snacks,659,810.74,2024-10
1019,405,2024-07-13,12:58:00,12,Tissue,2,372.74,Household,142,745.48,2024-07
1019,405,2024-07-13,12:58:00,12,Tissue,3,393.59,Household,759,1180.77,2024-07
1019,405,2024-07-13,12:58:00,12,Tomato,1,29.47,Fruits & Vegetables,411,29.47,2024-07
1020,361,2024-10-24,9:54:00,9,Mixer Grinder,3,347.66,Electronics,744,1042.98,2024-10
1020,361,2024-10-24,9:54:00,9,Tea,2,424.73,Beverages,697,849.46,2024-10
